BLOCK_ID,geometry,id,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,IDDIST,area_km2
16610U363S,"POLYGON Z ((-77.104242 -12.042646 0, -77.104379 -12.041649 0, -77.103219 -12.041541 0, -77.103137 -12.042164 0, -77.103287 -12.042194 0, -77.103253 -12.042535 0, -77.104242 -12.042646 0))",,16610U363S,,,,,,-1,0,-1,,,70101.0,0.013256539928297513
16610U368S,"POLYGON Z ((-77.10738 -12.044211 0, -77.107667 -12.042068 0, -77.106393 -12.041963 0, -77.106148 -12.04404 0, -77.106182 -12.044039 0, -77.10738 -12.044211 0))",,16610U368S,,,,,,-1,0,-1,,,70101.0,0.03224513377644122
16610U369S,"POLYGON Z ((-77.109648 -12.045295 0, -77.10925 -12.043774 0, -77.107619 -12.043537 0, -77.107448 -12.045028 0, -77.109648 -12.045295 0))",,16610U369S,,,,,,-1,0,-1,,,70101.0,0.0344025790248625
16610U370S,"POLYGON Z ((-77.111503 -12.04484 0, -77.109654 -12.045317 0, -77.107421 -12.045039 0, -77.107417 -12.045068 0, -77.107322 -12.045634 0, -77.109657 -12.045882 0, -77.111138 -12.045886 0, -77.112555 -12.045172 0, -77.1125 -12.045137 0, -77.111616 -12.045296 0, -77.111503 -12.04484 0))",,16610U370S,,,,,,-1,0,-1,,,70101.0,0.03667702398315701
16610U374S,"POLYGON Z ((-77.112279 -12.044095 0, -77.111562 -12.04162 0, -77.11068 -12.041769 0, -77.111384 -12.044329 0, -77.112279 -12.044095 0))",,16610U374S,,,,,,-1,0,-1,,,70101.0,0.028581537104144693
16610U392S,"POLYGON Z ((-77.119769 -12.044135 0, -77.119796 -12.044127 0, -77.120023 -12.044904 0, -77.120874 -12.044599 0, -77.120472 -12.043428 0, -77.119612 -12.043647 0, -77.119461 -12.043279 0, -77.118185 -12.043762 0, -77.118342 -12.044598 0, -77.119769 -12.044135 0))",,16610U392S,,,,,,-1,0,-1,,,70101.0,0.028867255185798277
16610U404S,"POLYGON Z ((-77.111438 -12.053782 0, -77.111429 -12.053742 0, -77.110542 -12.053695 0, -77.110319 -12.055832 0, -77.111634 -12.056114 0, -77.111753 -12.055068 0, -77.111663 -12.055019 0, -77.11177 -12.054136 0, -77.111431 -12.054111 0, -77.111443 -12.053795 0, -77.111438 -12.053782 0))",,16610U404S,,,,,,-1,0,-1,,,70101.0,0.033627503686657755
16610U423S,"POLYGON Z ((-77.12292 -12.056736 0, -77.123276 -12.056509 0, -77.123606 -12.056872 0, -77.124055 -12.05705 0, -77.124508 -12.057093 0, -77.124599 -12.056572 0, -77.123992 -12.056477 0, -77.12333 -12.055715 0, -77.122652 -12.054877 0, -77.122322 -12.055307 0, -77.12284 -12.056065 0, -77.122476 -12.056321 0, -77.12292 -12.056736 0))",,16610U423S,,,,,,-1,0,-1,,,70101.0,0.02214869976435788
16610U425S,"POLYGON Z ((-77.121008 -12.053859 0, -77.12033 -12.053517 0, -77.120045 -12.054045 0, -77.120669 -12.054429 0, -77.121894 -12.055533 0, -77.122075 -12.055281 0, -77.121683 -12.054627 0, -77.122332 -12.054089 0, -77.122846 -12.053877 0, -77.122404 -12.053235 0, -77.12222 -12.052995 0, -77.121646 -12.053348 0, -77.121008 -12.053859 0))",,16610U425S,,,,,,-1,0,-1,,,70101.0,0.03391163582616672
16610U500S,"POLYGON Z ((-77.132849 -12.058718 0, -77.132796 -12.05875 0, -77.132691 -12.058572 0, -77.132476 -12.059469 0, -77.134466 -12.059712 0, -77.134597 -12.059536 0, -77.134079 -12.058842 0, -77.136119 -12.057251 0, -77.135552 -12.056548 0, -77.132849 -12.058718 0))",,16610U500S,,,,,,-1,0,-1,,,70101.0,0.04992524737873487
16610U502S,"POLYGON Z ((-77.134107 -12.060862 0, -77.13686 -12.061167 0, -77.137154 -12.058822 0, -77.136321 -12.058873 0, -77.135955 -12.058493 0, -77.134443 -12.059736 0, -77.1343 -12.059703 0, -77.134107 -12.060862 0))",,16610U502S,,,,,,-1,0,-1,,,70101.0,0.06694090796979144
16610U504S,"POLYGON Z ((-77.133507 -12.065109 0, -77.133495 -12.065101 0, -77.13329 -12.066433 0, -77.134478 -12.066628 0, -77.134589 -12.066256 0, -77.136042 -12.06642 0, -77.136287 -12.064518 0, -77.134579 -12.064281 0, -77.134433 -12.065183 0, -77.133507 -12.065109 0))",,16610U504S,,,,,,-1,0,-1,,,70101.0,0.05791340318414941
16610U518S,"POLYGON Z ((-77.14519 -12.064237 0, -77.142504 -12.063594 0, -77.142095 -12.066118 0, -77.143553 -12.0663 0, -77.143572 -12.066309 0, -77.143726 -12.06552 0, -77.144993 -12.065602 0, -77.14519 -12.064237 0))",,16610U518S,,,,,,-1,0,-1,,,70101.0,0.06738895559978066
16611F005S,"POLYGON Z ((-77.107839 -12.059901 0, -77.107351 -12.059934 0, -77.106529 -12.059792 0, -77.106464 -12.060869 0, -77.106989 -12.06096 0, -77.107062 -12.060849 0, -77.107172 -12.060347 0, -77.109625 -12.060773 0, -77.109714 -12.060377 0, -77.108513 -12.060097 0, -77.10823 -12.059234 0, -77.108325 -12.058653 0, -77.106312 -12.058213 0, -77.106261 -12.058752 0, -77.107546 -12.058938 0, -77.107839 -12.059901 0))",,16611F005S,,,,,,-1,0,-1,,,70102.0,0.04161756729735155
